TOTALS: {'MEMBER_IN_A': 38, 'CONST_IN_A': 76}

======================================================================
MEMBER_IN_A 38
======================================================================
wiimj2d/dol/bases/d_SelectCursor       PosSet__15dSelectCursor_cFi                          00000638  fmuls f0, f4, f3 | A=MEM 0x36c(r6)  C=LIT @7316
wiimj2d/dol/bases/d_SelectCursor       PosSet__15dSelectCursor_cFi                          0000063C  fmuls f1, f2, f3 | A=MEM 0x370(r6)  C=LIT @7316
wiimj2d/dol/bases/d_a_en_bigpile       adjustOffset__13daEnBigPile_cFRf                     00000DF0  fmuls f1, f2, f1 | A=MEM 0x0(r4)  C=LIT @21245
wiimj2d/dol/bases/d_a_en_bigpile       adjustOffset__13daEnBigPile_cFRf                     00000E0C  fmuls f1, f2, f1 | A=MEM 0x0(r4)  C=LIT @21247
wiimj2d/dol/bases/d_a_en_bigpile       adjustOffset__13daEnBigPile_cFRf                     00000E28  fmuls f1, f2, f1 | A=MEM 0x0(r4)  C=LIT @21248
wiimj2d/dol/bases/d_a_en_hatena_balloon Normal_VsEnHitCheck__19daEnHatenaBalloon_cFP5dCc_cP5dCc_c 00001100  fmuls f1, f1, f2 | A=MEM 0xc(r1)  C=LIT @26130
wiimj2d/dol/bases/d_a_en_hatena_balloon Normal_VsEnHitCheck__19daEnHatenaBalloon_cFP5dCc_cP5dCc_c 00001108  fmuls f0, f0, f2 | A=MEM 0x10(r1)  C=LIT @26130
wiimj2d/dol/bases/d_a_en_hatena_balloon Normal_VsEnHitCheck__19daEnHatenaBalloon_cFP5dCc_cP5dCc_c 00001110  fmuls f2, f3, f2 | A=MEM 0x8(r1)  C=LIT @26130
wiimj2d/dol/bases/d_a_en_hatena_balloon Normal_VsEnHitCheck__19daEnHatenaBalloon_cFP5dCc_cP5dCc_c 00001158  fmuls f1, f1, f2 | A=MEM 0xc(r1)  C=LIT @25944
wiimj2d/dol/bases/d_a_en_hatena_balloon Normal_VsEnHitCheck__19daEnHatenaBalloon_cFP5dCc_cP5dCc_c 00001160  fmuls f0, f0, f2 | A=MEM 0x10(r1)  C=LIT @25944
wiimj2d/dol/bases/d_a_en_hatena_balloon Normal_VsEnHitCheck__19daEnHatenaBalloon_cFP5dCc_cP5dCc_c 00001164  fmuls f2, f3, f2 | A=MEM 0x8(r1)  C=LIT @25944
wiimj2d/dol/bases/d_a_en_net_nokonoko_base initializeState_DieFall__13daEnNetNoko_cFv           00000AC4  fmuls f0, f1, f0 | A=MEM 0xe8(r30)  C=LIT @22001
wiimj2d/dol/bases/d_a_en_shell         setEatSpitOut__11daEnShell_cFP8dActor_c              00002B40  fmuls f1, f1, f0 | A=MEM 0xb0(r30)  C=LIT @24696
wiimj2d/dol/bases/d_a_en_togezo_base   executeState_Pipo__16daEnTogezoBase_cFv              0000146C  fmuls f0, f1, f0 | A=MEM 0xe8(r31)  C=LIT @23048
wiimj2d/dol/bases/d_a_player           setPenWaterMoveSpeed__7dAcPy_cFi                     0000AD64  fmuls f3, f3, f0 | A=MEM 0x1030(r27)  C=LIT @38953
wiimj2d/dol/bases/d_a_player           setPenWaterMoveSpeed__7dAcPy_cFi                     0000AF30  fmuls f1, f3, f5 | A=MEM 0x2068(r27)  C=LIT @41252
wiimj2d/dol/bases/d_a_player           setWaterMoveSpeed__7dAcPy_cFv                        0000B644  fmuls f3, f1, f0 | A=MEM 0x1030(r31)  C=LIT @38953
wiimj2d/dol/bases/d_a_player           initializeState_Pole__7dAcPy_cFv                     0000DF40  fmuls f0, f1, f0 | A=MEM 0xac(r31)  C=LIT @41430
wiimj2d/dol/bases/d_a_player           setDropCarryPlayer__7dAcPy_cFv                       00013EFC  fmuls f2, f1, f0 | A=MEM 0x10c(r31)  C=LIT @38953
wiimj2d/dol/bases/d_a_player           setDropCarryPlayer__7dAcPy_cFv                       00014010  fmuls f2, f1, f0 | A=MEM 0x10c(r31)  C=LIT @38953
wiimj2d/dol/bases/d_a_player_base      initializeState_Funsui__10daPlBase_cFv               00004824  fmuls f0, f1, f0 | A=MEM 0x10c(r31)  C=LIT @36059
wiimj2d/dol/bases/d_a_player_base      executeState_DemoOutDokanRoll__10daPlBase_cFv        0000A4DC  fmuls f6, f3, f2 | A=MEM 0x38(r1)  C=LIT @35033
wiimj2d/dol/bases/d_a_player_base      executeState_DemoOutDokanRoll__10daPlBase_cFv        0000A4E0  fmuls f7, f1, f2 | A=MEM 0x34(r1)  C=LIT @35033
wiimj2d/dol/bases/d_a_player_base      executeState_DemoOutDokanRoll__10daPlBase_cFv        0000A4E8  fmuls f8, f0, f2 | A=MEM 0x30(r1)  C=LIT @35033
wiimj2d/dol/bases/d_a_player_base      executeState_DemoControl__10daPlBase_cFv             0000CD60  fmuls f0, f1, f0 | A=MEM 0x10c(r31)  C=LIT @37956
wiimj2d/dol/bases/d_a_player_base      calcCcPlayerRev__10daPlBase_cFPf                     0000DF5C  fmuls f3, f2, f31 | A=MEM 0x13f8(r30)  C=LIT @35034
wiimj2d/dol/bases/d_a_player_base      calcPlayerSpeedXY__10daPlBase_cFv                    00011334  fmuls f2, f0, f30 | A=MEM 0x11c(r30)  C=LIT @39144
wiimj2d/dol/bases/d_a_player_base      calcPlayerSpeedXY__10daPlBase_cFv                    000113E0  fmuls f2, f5, f2 | A=MEM 0x1030(r30)  C=LIT @35724
wiimj2d/dol/bases/d_a_player_manager   incCoin__9daPyMng_cFi                                000019DC  fmuls f1, f1, f0 | A=MEM 0x44(r3)  C=LIT @24882
wiimj2d/dol/bases/d_a_player_manager   incCoin__9daPyMng_cFi                                000019E4  fmuls f0, f3, f0 | A=MEM 0x40(r3)  C=LIT @24882
wiimj2d/dol/bases/d_a_player_manager   addRest__9daPyMng_cFiib                              00001B84  fmuls f1, f1, f0 | A=MEM 0x44(r3)  C=LIT @24882
wiimj2d/dol/bases/d_a_player_manager   addRest__9daPyMng_cFiib                              00001B8C  fmuls f0, f3, f0 | A=MEM 0x40(r3)  C=LIT @24882
wiimj2d/dol/bases/d_actor              searchNearPlayerLoop__8dActor_cFR7mVec2_cRC7mVec2_c  000009AC  fmuls f0, f31, f29 | A=MEM -0x160(r3)  C=LIT @24757
wiimj2d/dol/bases/d_actor              getTrgToSrcDirLoop__8dActor_cFff                     00000ACC  fmuls f0, f2, f1 | A=MEM -0x160(r3)  C=LIT @24757
wiimj2d/dol/bases/d_multi_manager      setClapSE__11dMultiMng_cFv                           0000016C  fmuls f1, f1, f0 | A=MEM 0x44(r5)  C=LIT @23081
wiimj2d/dol/bases/d_multi_manager      setClapSE__11dMultiMng_cFv                           00000174  fmuls f0, f3, f0 | A=MEM 0x40(r5)  C=LIT @23081
wiimj2d/dol/bases/d_util_frame_counter calc__Q24Util14FrameCounter_cFv                      00000134  fmuls f0, f3, f0 | A=MEM 0xc(r3)  C=LIT @114
wiimj2d/dol/bases/d_util_frame_counter calc__Q24Util14FrameCounter_cFv                      000001B8  fmuls f0, f3, f0 | A=MEM 0xc(r3)  C=LIT @114

======================================================================
CONST_IN_A 76
======================================================================
wiimj2d/dol/bases/d_a_en_door          rotation_move__10daEnDoor_cFP8dActor_c               0000022C  fmuls f1, f0, f1 | A=LIT @21692  C=MEM 0xb0(r4)
wiimj2d/dol/bases/d_a_en_hatena_balloon fly_yspeed_set__19daEnHatenaBalloon_cFv              000028D0  fmuls f4, f0, f1 | A=LIT @26348  C=MEM 0x44(r4)
wiimj2d/dol/bases/d_a_en_hatena_balloon fly_xspeed_set__19daEnHatenaBalloon_cFb              00002A98  fmuls f31, f0, f2 | A=LIT @26348  C=MEM 0x40(r3)
wiimj2d/dol/bases/d_a_en_hatena_balloon create_wait_pos_set__19daEnHatenaBalloon_cFv         000036EC  fmuls f2, f2, f3 | A=LIT @26348  C=MEM 0x40(r4)
wiimj2d/dol/bases/d_a_en_hatena_balloon create_wait_pos_set__19daEnHatenaBalloon_cFv         0000372C  fmuls f3, f0, f3 | A=LIT @26348  C=MEM 0x40(r4)
wiimj2d/dol/bases/d_a_en_hatena_balloon create_wait_pos_set__19daEnHatenaBalloon_cFv         000037A0  fmuls f1, f1, f2 | A=LIT @26348  C=MEM 0x44(r3)
wiimj2d/dol/bases/d_a_en_hatena_balloon create_wait_pos_set__19daEnHatenaBalloon_cFv         000037E8  fmuls f1, f1, f2 | A=LIT @26348  C=MEM 0x44(r3)
wiimj2d/dol/bases/d_a_en_hatena_balloon initializeState_DispFlyWait__19daEnHatenaBalloon_cFv 0000391C  fmuls f1, f0, f1 | A=LIT @26348  C=MEM 0x44(r4)
wiimj2d/dol/bases/d_a_en_hatena_balloon initializeState_DispFlyWait__19daEnHatenaBalloon_cFv 00003958  fmuls f31, f0, f2 | A=LIT @26348  C=MEM 0x40(r3)
wiimj2d/dol/bases/d_a_en_hatena_balloon initializeState_Escape__19daEnHatenaBalloon_cFv      00003E44  fmuls f31, f0, f2 | A=LIT @26348  C=MEM 0x40(r3)
wiimj2d/dol/bases/d_a_en_jimen_pakkun_base ActorDrawCullCheck__21daEnJimenPakkunBase_cFv        000011A4  fmuls f0, f1, f0 | A=LIT @24370  C=MEM 0x318(r3)
wiimj2d/dol/bases/d_a_en_jimen_pakkun_base ActorDrawCullCheck__21daEnJimenPakkunBase_cFv        000011B0  fmuls f0, f1, f0 | A=LIT @24370  C=MEM 0x31c(r3)
wiimj2d/dol/bases/d_a_en_shell         cullCheck_Shell__11daEnShell_cFv                     000023A4  fmuls f5, f2, f0 | A=LIT @24593  C=MEM 0x318(r3)
wiimj2d/dol/bases/d_a_en_shell         setSlideThrowSpeed__11daEnShell_cFP8dActor_c         00002714  fmuls f0, f0, f1 | A=LIT @24645  C=MEM 0xe8(r4)
wiimj2d/dol/bases/d_a_en_shell         setSlideKickSpeed__11daEnShell_cFP8dActor_c          00002820  fmuls f0, f0, f1 | A=LIT @24593  C=MEM 0xe8(r4)
wiimj2d/dol/bases/d_a_en_togezo_base   pipoRolling__16daEnTogezoBase_cFv                    00000D78  fmuls f1, f2, f1 | A=LIT @22930  C=MEM 0xe8(r3)
wiimj2d/dol/bases/d_a_enemy_ice        calcMeltSpeed__12daEnemyIce_cFv                      000007A4  fmuls f0, f1, f0 | A=LIT @15276  C=MEM 0x548(r3)
wiimj2d/dol/bases/d_a_enemy_ice        calcEffectPos__12daEnemyIce_cFv                      00000844  fmuls f1, f1, f0 | A=LIT @15276  C=MEM 0x548(r31)
wiimj2d/dol/bases/d_a_player           jumpExecAir__7dAcPy_cFv                              000017AC  fmuls f1, f1, f3 | A=LIT @39130  C=MEM 0xec(r31)
wiimj2d/dol/bases/d_a_player           executeState_RollSlip__7dAcPy_cFv                    00004B00  fmuls f2, f1, f0 | A=LIT @39725  C=MEM 0x10c(r31)
wiimj2d/dol/bases/d_a_player           checkPenguinSlideJump__7dAcPy_cFv                    00005190  fmuls f2, f1, f0 | A=LIT @39725  C=MEM 0x10c(r31)
wiimj2d/dol/bases/d_a_player           executeState_PenguinSlide__7dAcPy_cFv                000056A0  fmuls f1, f2, f1 | A=LIT @39866  C=MEM 0x11c(r30)
wiimj2d/dol/bases/d_a_player           setThrowActor__7dAcPy_cFv                            00008704  fmuls f1, f1, f2 | A=LIT @40639  C=MEM 0x10c(r30)
wiimj2d/dol/bases/d_a_player           setWaterMoveSpeed__7dAcPy_cFv                        0000B824  fmuls f0, f0, f1 | A=LIT @40722  C=MEM 0x8c0(r3)
wiimj2d/dol/bases/d_a_player           setWaterMoveSpeed__7dAcPy_cFv                        0000B9F0  fmuls f0, f0, f3 | A=LIT @41255  C=MEM 0x8c0(r4)
wiimj2d/dol/bases/d_a_player           setEatSpitOut__7dAcPy_cFP8dActor_c                   00014B18  fmuls f0, f0, f4 | A=LIT @38953  C=MEM 0x10c(r31)
wiimj2d/dol/bases/d_a_player           setEatSpitOut__7dAcPy_cFP8dActor_c                   00014B68  fmuls f0, f0, f3 | A=LIT @38953  C=MEM 0x10c(r31)
wiimj2d/dol/bases/d_a_player           setPlayerEatPos__7dAcPy_cFP8dActor_c                 00014E34  fmuls f1, f0, f1 | A=LIT @41249  C=MEM 0x44(r1)
wiimj2d/dol/bases/d_a_player           setCcAtNetPunch__7dAcPy_cFv                          0001BBBC  fmuls f0, f0, f3 | A=LIT @40677  C=MEM 0x8(r4)
wiimj2d/dol/bases/d_a_player           setCcAtNetPunch__7dAcPy_cFv                          0001BBC4  fmuls f2, f2, f3 | A=LIT @39288  C=MEM 0x8(r4)
wiimj2d/dol/bases/d_a_player           setCcAtNetPunch__7dAcPy_cFv                          0001BBC8  fmuls f1, f1, f3 | A=LIT @40641  C=MEM 0x8(r4)
wiimj2d/dol/bases/d_a_player           setCcAtSpin__7dAcPy_cFv                              0001BC0C  fmuls f0, f0, f3 | A=LIT @39299  C=MEM 0x16c(r3)
wiimj2d/dol/bases/d_a_player           setBcData__7dAcPy_cFi                                0001C89C  fmuls f1, f0, f1 | A=LIT @41249  C=MEM 0x24(r1)
wiimj2d/dol/bases/d_a_player           fn_80143060__7dAcPy_cFR12sBcPointDataR12sBcPointDatab 0001CD14  fmuls f1, f2, f1 | A=LIT @39252  C=MEM 0xb0(r27)
wiimj2d/dol/bases/d_a_player           fn_80143060__7dAcPy_cFR12sBcPointDataR12sBcPointDatab 0001CD1C  fmuls f0, f2, f0 | A=LIT @39252  C=MEM 0xb0(r25)
wiimj2d/dol/bases/d_a_player_base      calcAccOnIceLift__10daPlBase_cFv                     00001D50  fmuls f0, f0, f1 | A=LIT @35503  C=MEM 0x11c(r31)
wiimj2d/dol/bases/d_a_player_base      slipActionMove__10daPlBase_cFi                       00002AA4  fmuls f1, f0, f1 | A=LIT @35723  C=MEM 0x10c(r30)
wiimj2d/dol/bases/d_a_player_base      slipActionMove__10daPlBase_cFi                       00002B80  fmuls f0, f1, f0 | A=LIT @35724  C=MEM 0x11c(r30)
wiimj2d/dol/bases/d_a_player_base      HipAction_AttackFall__10daPlBase_cFv                 00003858  fmuls f0, f0, f1 | A=LIT @35724  C=MEM 0xec(r31)
wiimj2d/dol/bases/d_a_player_base      slipPowerSet__10daPlBase_cFi                         00005F90  fmuls f0, f0, f1 | A=LIT @35503  C=MEM 0x11c(r30)
wiimj2d/dol/bases/d_a_player_base      slipPowerSet__10daPlBase_cFi                         00005FEC  fmuls f0, f0, f1 | A=LIT @35503  C=MEM 0x11c(r30)
wiimj2d/dol/bases/d_a_player_base      normalPowerSet__10daPlBase_cFv                       00006194  fmuls f0, f0, f1 | A=LIT @35503  C=MEM 0x11c(r30)
wiimj2d/dol/bases/d_a_player_base      normalPowerSet__10daPlBase_cFv                       000061E8  fmuls f0, f0, f1 | A=LIT @35503  C=MEM 0x11c(r30)
