__sinit_\d_enemy_toride_kokoopa_cpp	0x800AED40	5784	5784B_200diffs
executeState_ShellAtk_St__18dEnTorideKokoopa_cFv	0x800AD720	612	612B_145diffs
__ct__18dEnTorideKokoopa_cFv	0x800A88A0	516	572B_89diffs
executeState_AttackSearch__18dEnTorideKokoopa_cFv	0x800AC560	512	512B_2diffs
initializeState_ShellAtk_St__18dEnTorideKokoopa_cFv	0x800AD4F0	508	488B_118diffs
executeState_ShellAtk__18dEnTorideKokoopa_cFv	0x800ADB00	468	464B_95diffs
executeState_FumiHit__18dEnTorideKokoopa_cFv	0x800ACD70	432	0-B-UNWRITTEN
executeState_DieFumi_St__18dEnTorideKokoopa_cFv	0x800AE130	412	0-B-UNWRITTEN
shellAtkEffect__18dEnTorideKokoopa_cFv	0x800AABF0	376	0-B-UNWRITTEN
initializeState_Jump__18dEnTorideKokoopa_cFv	0x800AB9F0	360	360B_14diffs
initializeState_BigJump__18dEnTorideKokoopa_cFv	0x800ABDB0	360	360B_14diffs
setQuakeDead__18dEnTorideKokoopa_cFv	0x800A9A90	340	352B_84diffs
shellWallEffect__18dEnTorideKokoopa_cFv	0x800AAF80	316	0-B-UNWRITTEN
initializeState_ShellAtk__18dEnTorideKokoopa_cFv	0x800AD9D0	276	276B_1diffs
setFireDamage__18dEnTorideKokoopa_cFP8dActor_c	0x800A9440	272	0-B-UNWRITTEN
initializeState_FumiHit__18dEnTorideKokoopa_cFv	0x800ACC20	272	0-B-UNWRITTEN
preExecute__18dEnTorideKokoopa_cFv	0x800A8C60	268	0-B-UNWRITTEN
setShellDamage__18dEnTorideKokoopa_cFP8dActor_c	0x800A9BF0	264	0-B-UNWRITTEN
initializeState_DieFumi_St__18dEnTorideKokoopa_cFv	0x800AE020	256	0-B-UNWRITTEN
executeState_AttackEnd__18dEnTorideKokoopa_cFv	0x800ACB00	252	0-B-UNWRITTEN
setFumiDamage__18dEnTorideKokoopa_cFP8dActor_c	0x800A9190	236	0-B-UNWRITTEN
setStarDamage__18dEnTorideKokoopa_cFP8dActor_c	0x800A9720	236	0-B-UNWRITTEN
executeState_LandOn__18dEnTorideKokoopa_cFv	0x800AC0B0	236	0-B-UNWRITTEN
finalUpdate__18dEnTorideKokoopa_cFv	0x800A8EA0	232	232B_5diffs
initializeState_AttackSearch__18dEnTorideKokoopa_cFv	0x800AC470	224	0-B-UNWRITTEN
executeState_DemoIkaku__18dEnTorideKokoopa_cFv	0x800AE9A0	224	0-B-UNWRITTEN
initializeState_DemoAwake__18dEnTorideKokoopa_cFv	0x800AE580	216	0-B-UNWRITTEN
initializeState_DemoIkaku__18dEnTorideKokoopa_cFv	0x800AE8B0	216	0-B-UNWRITTEN
initializeState_DemoWait__18dEnTorideKokoopa_cFv	0x800AE420	212	0-B-UNWRITTEN
moveRevise__18dEnTorideKokoopa_cFv	0x800AA150	208	0-B-UNWRITTEN
executeState_AttackReady__18dEnTorideKokoopa_cFv	0x800AC240	208	0-B-UNWRITTEN
calcAttackTarget__18dEnTorideKokoopa_cFv	0x800AA2A0	204	0-B-UNWRITTEN
executeState_DemoAwake__18dEnTorideKokoopa_cFv	0x800AE670	204	0-B-UNWRITTEN
executeState_Jump_St__18dEnTorideKokoopa_cFv	0x800AB920	200	16B_50diffs
executeState_BigJump_St__18dEnTorideKokoopa_cFv	0x800ABCE0	200	0-B-UNWRITTEN
executeState_AttackBegin__18dEnTorideKokoopa_cFv	0x800AC3A0	200	0-B-UNWRITTEN
initializeState_FireHit__18dEnTorideKokoopa_cFv	0x800ACF20	196	0-B-UNWRITTEN
initializeState_DemoAwake_Wait__18dEnTorideKokoopa_cFv	0x800AE750	196	0-B-UNWRITTEN
initializeState_DemoIkaku_Wait__18dEnTorideKokoopa_cFv	0x800AEAA0	196	0-B-UNWRITTEN
setQuakeDamage__18dEnTorideKokoopa_cFv	0x800A99D0	188	0-B-UNWRITTEN
calcJumpRate__18dEnTorideKokoopa_cFv	0x800A9FC0	188	0-B-UNWRITTEN
movelimitCheck__18dEnTorideKokoopa_cFf	0x800AA090	188	0-B-UNWRITTEN
initializeState_StarHit__18dEnTorideKokoopa_cFv	0x800AD090	188	0-B-UNWRITTEN
initializeState_SlideHit__18dEnTorideKokoopa_cFv	0x800AD250	188	0-B-UNWRITTEN
