addr       target                  size  result
0x800c0dc0 __ct__10dLineMng_cFv      66  MATCH  <- __ct__10dLineMng_cFv
0x800c0ed0 "__dt__77sFStateStateMgr_c<10dLineMng_c,20sStateMethodUsr_FI_c,20sStateMethodUsr_FI_c>Fv"    35  MATCH  <- "__dt__77sFStateStateMgr_c<10dLineMng_c,20sStateMethodUsr_FI_c,20sStateMethodUsr_FI_c>Fv"
0x800c0f60 "__dt__91sStateStateMgr_c<10dLineMng_c,12sFStateMgr_c,20sStateMethodUsr_FI_c,20sStateMethodUsr_FI_c>Fv"    34  MATCH  <- "__dt__91sStateStateMgr_c<10dLineMng_c,12sFStateMgr_c,20sStateMethodUsr_FI_c,20sStateMethodUsr_FI_c>Fv"
0x800c0ff0 "__dt__49sFStateMgr_c<10dLineMng_c,20sStateMethodUsr_FI_c>Fv"    25  MATCH  <- "__dt__49sFStateMgr_c<10dLineMng_c,20sStateMethodUsr_FI_c>Fv"
0x800c1060 "__dt__79sStateMgr_c<10dLineMng_c,20sStateMethodUsr_FI_c,12sFStateFct_c,13sStateIDChk_c>Fv"    24  MATCH  <- "__dt__79sStateMgr_c<10dLineMng_c,20sStateMethodUsr_FI_c,12sFStateFct_c,13sStateIDChk_c>Fv"
0x800c10c0 "__dt__26sFStateFct_c<10dLineMng_c>Fv"    16  MATCH  <- __dt__Q23EGG8Vector2fFv
0x800c1100 "__dt__23sFState_c<10dLineMng_c>Fv"    16  MATCH  <- __dt__7mVec2_cFv
0x800c1140 init__10dLineMng_cFRC7mVec2_cfiUc    70  MATCH  <- init__10dLineMng_cFRC7mVec2_cfiUc
0x800c1260 "changeState__91sStateStateMgr_c<10dLineMng_c,12sFStateMgr_c,20sStateMethodUsr_FI_c,20sStateMethodUsr_FI_c>FRC12sStateIDIf_c"     5  MATCH  <- "changeState__91sStateStateMgr_c<10dLineMng_c,12sFStateMgr_c,20sStateMethodUsr_FI_c,20sStateMethodUsr_FI_c>FRC12sStateIDIf_c"
0x800c1280 move__10dLineMng_cFv      21  MATCH  <- move__10dLineMng_cFv
0x800c12e0 "executeState__91sStateStateMgr_c<10dLineMng_c,12sFStateMgr_c,20sStateMethodUsr_FI_c,20sStateMethodUsr_FI_c>Fv"     5  MATCH  <- "executeState__91sStateStateMgr_c<10dLineMng_c,12sFStateMgr_c,20sStateMethodUsr_FI_c,20sStateMethodUsr_FI_c>Fv"
0x800c1300 GetPos__10dLineMng_cCFv     5  MATCH  <- GetPos__10dLineMng_cCFv
0x800c1320 SetPos__10dLineMng_cFRC7mVec2_c     5  MATCH  <- SetPos__10dLineMng_cFRC7mVec2_c
0x800c1340 CalcAdjustPosY__10dLineMng_cFff   128  MATCH  <- CalcAdjustPosY__10dLineMng_cFff
0x800c1540 "getStateID__91sStateStateMgr_c<10dLineMng_c,12sFStateMgr_c,20sStateMethodUsr_FI_c,20sStateMethodUsr_FI_c>CFv"     5  MATCH  <- "getStateID__91sStateStateMgr_c<10dLineMng_c,12sFStateMgr_c,20sStateMethodUsr_FI_c,20sStateMethodUsr_FI_c>CFv"
0x800c1560 SetBaseSpeed__10dLineMng_cFf     6  MATCH  <- SetBaseSpeed__10dLineMng_cFf
0x800c1580 acm_angle__10dLineMng_cCFv     9  MATCH  <- acm_angle__10dLineMng_cCFv
0x800c15b0 fn_800C15B0                7  MATCH  <- setArrElem_800C15B0__FP7mVec2_cPC7mVec2_ci
0x800c15d0 start_line_move__10dLineMng_cFv    94  MATCH  <- start_line_move__10dLineMng_cFv
0x800c1750 is_unit_circle2x2__10dLineMng_cFUl    14  MATCH  <- is_unit_circle2x2__10dLineMng_cFUl
0x800c1790 is_unit_circle4x4__10dLineMng_cFUl    14  MATCH  <- is_unit_circle4x4__10dLineMng_cFUl
0x800c17d0 change_dir__10dLineMng_cFv     7  MATCH  <- change_dir__10dLineMng_cFv
0x800c17f0 getLineUnitNo__10dLineMng_cFff    26  MATCH  <- getLineUnitNo__10dLineMng_cFff
0x800c1860 init_term_ck_pos__10dLineMng_cFv    37  MATCH  <- init_term_ck_pos__10dLineMng_cFv
0x800c1900 check_term__10dLineMng_cFv    73  MATCH  <- check_term__10dLineMng_cFv
0x800c1a30 line_cross_slope_check__10dLineMng_cFRC7mVec2_cRC7mVec2_cRfRf    22  MATCH  <- line_cross_slope_check__10dLineMng_cFRC7mVec2_cRC7mVec2_cRfRf
0x800c1a90 line_cross_range_check__10dLineMng_cFfff    19  MATCH  <- line_cross_range_check__10dLineMng_cFfff
0x800c1ae0 line_cross_chk1__10dLineMng_cFffRC7mVec2_c7mVec2_c7mVec2_cR7mVec2_c   121  MATCH  <- line_cross_chk1__10dLineMng_cFffRC7mVec2_c7mVec2_c7mVec2_cR7mVec2_c
0x800c1cd0 line_cross_chk2__10dLineMng_cFfRC7mVec2_c7mVec2_c7mVec2_cRf   100  MATCH  <- line_cross_chk2__10dLineMng_cFfRC7mVec2_c7mVec2_c7mVec2_cRf
0x800c1e60 line_cross_chk3__10dLineMng_cFfRC7mVec2_cRC7mVec2_c    32  MATCH  <- line_cross_chk3__10dLineMng_cFfRC7mVec2_cRC7mVec2_c
